# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      34     0.58977     0.13492     0.00000   -2.246232315   -3.952397864   -1.706165550
     1      34     0.59534     0.12528     0.00000   -2.279160847   -3.953444772   -1.674283925
     1      34     0.60090     0.11564     0.00000   -2.326119688   -4.037120733   -1.711001045
     1      34     0.60646     0.10601     0.00000   -2.334872385   -4.033680161   -1.698807776
     1      34     0.61203     0.09637     0.00000   -2.341337420   -4.027149706   -1.685812286
     1      34     0.61759     0.08673     0.00000   -2.367300596   -3.987247362   -1.619946766
     1      34     0.62316     0.07710     0.00000   -2.469888047   -4.101621181   -1.631733134
     1      34     0.62872     0.06746     0.00000   -2.559982554   -4.208570564   -1.648588010
     1      34     0.63428     0.05782     0.00000   -2.634240238   -4.304237296   -1.669997058
     1      34     0.63985     0.04818     0.00000   -2.676243017   -4.377829319   -1.701586302
     1      34     0.64541     0.03855     0.00000   -2.687267929   -4.405412185   -1.718144255
     1      34     0.65098     0.02891     0.00000   -2.693380669   -4.418758828   -1.725378158
     1      34     0.65654     0.01927     0.00000   -2.696455480   -4.426622379   -1.730166899
     1      34     0.66210     0.00964     0.00000   -2.697739123   -4.433263547   -1.735524424
     1      34     0.66767     0.00000     0.00000   -2.698040546   -4.439283452   -1.741242905
     1      34     0.64541     0.00000     0.00000   -2.697513352   -4.428364148   -1.730850796
     1      34     0.62316     0.00000     0.00000   -2.696493933   -4.417762653   -1.721268721
     1      34     0.60090     0.00000     0.00000   -2.693230589   -4.398260374   -1.705029786
     1      34     0.57865     0.00000     0.00000   -2.631194948   -4.301563598   -1.670368651
     1      34     0.55639     0.00000     0.00000   -2.518715254   -4.188933950   -1.670218696
     1      34     0.53413     0.00000     0.00000   -2.452394805   -4.144132322   -1.691737517
     1      34     0.51188     0.00000     0.00000   -2.451823942   -4.174954682   -1.723130740
     1      34     0.48962     0.00000     0.00000   -2.393622222   -4.105291703   -1.711669481
     1      34     0.46737     0.00000     0.00000   -2.364546683   -4.122464405   -1.757917722
     1      34     0.44511     0.00000     0.00000   -2.345688406   -4.130171429   -1.784483024
     1      34     0.42286     0.00000     0.00000   -2.322357993   -4.122563012   -1.800205019
     1      34     0.40060     0.00000     0.00000   -2.288380561   -4.097142592   -1.808762031
     1      34     0.37835     0.00000     0.00000   -2.240038068   -4.055638981   -1.815600913
     1      34     0.35609     0.00000     0.00000   -2.173973184   -3.989630366   -1.815657181
     1      34     0.33383     0.00000     0.00000   -2.086532044   -3.902174350   -1.815642306
     1      34     0.31158     0.00000     0.00000   -1.974324093   -3.778088238   -1.803764145
     1      34     0.28932     0.00000     0.00000   -1.836436777   -3.629618414   -1.793181637
     1      34     0.26707     0.00000     0.00000   -1.676778220   -3.459056233   -1.782278013
     1      34     0.24481     0.00000     0.00000   -1.481763642   -3.301200085   -1.819436443
     1      34     0.22256     0.00000     0.00000   -1.281148658   -3.105377143   -1.824228485
     1      34     0.20030     0.00000     0.00000   -1.118121481   -2.879701929   -1.761580449
     1      34     0.17804     0.00000     0.00000   -1.045805854   -2.894742102   -1.848936248
     1      34     0.15579     0.00000     0.00000   -1.099095576   -2.959186456   -1.860090880
     1      34     0.13353     0.00000     0.00000   -1.146319781   -3.006518125   -1.860198344
     1      34     0.11128     0.00000     0.00000   -1.173985959   -3.008488898   -1.834502940
     1      34     0.08902     0.00000     0.00000   -1.167493611   -2.961024431   -1.793530820
     1      34     0.06677     0.00000     0.00000   -1.124624359   -2.867119535   -1.742495177
     1      34     0.04451     0.00000     0.00000   -1.068692841   -2.755255947   -1.686563107
     1      34     0.02226     0.00000     0.00000   -1.024317924   -2.681531806   -1.657213882
     1      34     0.00000     0.00000     0.00000   -1.007415359   -2.630965723   -1.623550364
     1      35     0.00000     0.00000     0.00000   -0.468031193   -2.343498623   -1.875467430
     1      35     0.01113     0.01927     0.00000   -0.465827126   -2.313865361   -1.848038235
     1      35     0.02226     0.03855     0.00000   -0.466512505   -2.297850591   -1.831338086
     1      35     0.03338     0.05782     0.00000   -0.483964097   -2.294517191   -1.810553095
     1      35     0.04451     0.07710     0.00000   -0.528884754   -2.326999217   -1.798114464
     1      35     0.05564     0.09637     0.00000   -0.604284746   -2.392388982   -1.788104236
     1      35     0.06677     0.11564     0.00000   -0.707953221   -2.489211392   -1.781258172
     1      35     0.07789     0.13492     0.00000   -0.836095618   -2.609464233   -1.773368615
     1      35     0.08902     0.15419     0.00000   -0.984281602   -2.755824513   -1.771542911
     1      35     0.10015     0.17347     0.00000   -1.095188993   -2.924882952   -1.829693958
     1      35     0.11128     0.19274     0.00000   -1.087129751   -2.828707871   -1.741578120
     1      35     0.12241     0.21201     0.00000   -1.063554825   -2.787855606   -1.724300781
     1      35     0.13353     0.23129     0.00000   -1.058986242   -2.762889438   -1.703903196
     1      35     0.14466     0.25056     0.00000   -1.079264870   -2.762584587   -1.683319717
     1      35     0.15579     0.26983     0.00000   -1.127551668   -2.793501429   -1.665949760
     1      35     0.16692     0.28911     0.00000   -1.203573695   -2.854951557   -1.651377862
     1      35     0.17804     0.30838     0.00000   -1.304136608   -2.943715610   -1.639579003
     1      35     0.18917     0.32766     0.00000   -1.424498462   -3.055019582   -1.630521121
     1      35     0.20030     0.34693     0.00000   -1.559568948   -3.181889361   -1.622320413
     1      35     0.21143     0.36620     0.00000   -1.704339850   -3.321361312   -1.617021462
     1      35     0.22256     0.38548     0.00000   -1.853361485   -3.466612743   -1.613251259
     1      35     0.23368     0.40475     0.00000   -1.998564440   -3.620223951   -1.621659512
     1      35     0.24481     0.42403     0.00000   -2.122689112   -3.771819915   -1.649130802
